aceleracaoMinima,audioMinimo,aceleracaoMaxima,audioMaximo,aceleracaoMedia,audioMedio,aceleracaoVariancia,audioVariancia,aceleracaoRMS,audioRMS,aceleracaoMaxFreAmp1,aceleracaoMaxFreAmp2,aceleracaoMaxFreAmp3,aceleracaoMaxFreAmp4,aceleracaoMaxFreAmp5,aceleracaoMaxFre1,aceleracaoMaxFre2,aceleracaoMaxFre3,aceleracaoMaxFre4,aceleracaoMaxFre5,audioMaxFreAmp1,audioMaxFreAmp2,audioMaxFreAmp3,audioMaxFreAmp4,audioMaxFreAmp5,audioMaxFre1,audioMaxFre2,audioMaxFre3,audioMaxFre4,audioMaxFre5,temperaturaFerramenta,experimento
-133.1348,-687.1734,119.9882,757.193,-13.105202,-17.281274,55.354118,411.5909,56.740103,410.85252,34.772223,32.671265,31.344165,22.579568,21.668504,4301.0753,5376.3441,6451.6129,7526.8817,8064.5161,544.50811,118.05614,100.40552,82.116778,73.78751,537.63441,1075.2688,1612.9032,2688.172,3225.8065,53.98,f025 ap030 ac
-142.5773,-680.6012,69.318,733.9535,-35.812214,-26.792752,50.444668,311.87062,61.75412,312.18746,40.76355,36.004753,24.262031,23.785178,20.888755,0,4301.0753,5913.9785,8064.5161,9677.4194,351.16169,163.16082,155.19508,77.787624,58.08696,1075.2688,1612.9032,2150.5376,2688.172,3763.4409,55,f025 ap030 ac
-147.7654,-641.9206,96.29888,525.295,-31.82693,-25.08411,54.483482,280.40752,62.972448,280.77948,36.995202,32.980854,31.998043,23.310745,23.291508,0,1075.2688,3763.4409,5913.9785,8064.5161,345.61386,129.50797,90.870339,61.576688,49.015426,537.63441,1075.2688,1612.9032,2150.5376,8064.5161,55.32,f025 ap030 ac
-144.3577,-893.2605,92.73513,928.1516,-36.301708,24.524106,60.579694,485.69771,70.484666,485.01772,36.496878,35.554442,34.674435,34.172554,28.845881,0,1612.9032,3763.4409,4838.7097,5913.9785,635.59397,206.29082,108.20175,61.482616,44.771515,1075.2688,1612.9032,2150.5376,3225.8065,8064.5161,54.36,f025 ap030 ac
-221.0782,-682.1092,178.253,825.6296,-18.037945,25.692759,83.22699,451.67394,84.941497,451.19675,66.609814,48.606796,44.035934,39.425183,26.51171,1075.2688,1612.9032,4301.0753,5913.9785,7526.8817,556.9331,211.19336,172.43152,68.887761,68.601929,1075.2688,1612.9032,2150.5376,2688.172,3225.8065,55.54,f025 ap030 ac
-245.1281,-533.5805,189.7916,594.6723,0.87893021,17.80048,95.141863,251.89383,94.891202,251.84926,57.867751,51.494157,47.215532,41.792789,38.716976,1612.9032,4301.0753,4838.7097,5376.3441,8064.5161,208.0334,164.95761,155.81027,83.334175,81.063152,1075.2688,1612.9032,2150.5376,2688.172,3763.4409,55.25,f025 ap030 ac
-166.0629,-667.3389,168.6637,418.1304,5.4857888,-3.9741031,72.760946,303.4075,72.773196,302.62126,39.501701,36.972432,32.471269,32.02515,28.450274,1612.9032,2150.5376,4301.0753,5376.3441,8602.1505,353.87709,174.95495,100.78796,80.15779,58.159079,537.63441,1075.2688,1612.9032,3225.8065,4838.7097,55.36,f025 ap030 ac
-203.9766,-729.0847,192.2223,741.3977,16.892218,-24.336353,100.96186,391.97373,102.09865,391.68105,74.147068,66.275849,56.391677,49.483085,36.897136,1612.9032,3763.4409,4301.0753,5913.9785,7526.8817,465.14009,254.97578,75.836912,73.254995,70.891418,1075.2688,1612.9032,2150.5376,2688.172,3763.4409,54.93,f025 ap030 ac
-305.6162,-444.4578,451.2387,418.168,20.472286,-30.345836,146.86996,220.12918,147.90046,221.62716,83.586694,83.077492,79.147638,78.672315,76.671469,1612.9032,3763.4409,4301.0753,4838.7097,5376.3441,140.0827,137.637,137.34252,126.16299,116.51371,537.63441,1612.9032,2150.5376,2688.172,3225.8065,55.3,f025 ap030 ac
-423.1673,-448.6442,325.945,433.6449,6.6752255,26.604897,150.00943,214.0574,149.75664,215.13568,92.047562,83.999288,80.308,79.975069,77.283153,1612.9032,3763.4409,4301.0753,4838.7097,5376.3441,135.31068,132.95767,130.81759,127.64943,112.31373,537.63441,1612.9032,2150.5376,2688.172,3225.8065,54.52,f025 ap030 ac
-196.6693,-757.3731,238.8851,812.9935,3.1914022,12.956093,110.02269,455.96804,109.77451,454.93177,106.49294,54.742286,48.759423,44.281978,42.338564,1612.9032,3763.4409,4301.0753,5913.9785,7526.8817,569.26603,207.62598,147.5103,113.66756,70.983867,1075.2688,1612.9032,2150.5376,2688.172,3763.4409,54.35,f025 ap030 ac
-196.6693,-669.0751,177.5188,837.2927,8.8766592,-17.177786,80.497355,433.03893,80.771083,432.221,70.537319,36.056201,33.579491,29.765395,25.726063,1612.9032,5376.3441,5913.9785,7526.8817,8602.1505,539.05403,217.58268,106.18888,92.411156,57.601591,537.63441,1075.2688,1612.9032,3225.8065,5376.3441,54.49,f025 ap030 ac
-195.0669,-864.6652,179.4952,837.5671,6.5130237,-23.942681,94.420196,479.85348,94.392363,479.16728,61.681375,57.123339,45.720033,42.589261,39.309361,1612.9032,3763.4409,4301.0753,4838.7097,5913.9785,510.19514,349.48171,149.38652,120.66137,91.153488,1075.2688,1612.9032,2150.5376,2688.172,3763.4409,54.95,f025 ap030 ac
-242.2495,-770.9812,221.9251,445.6871,23.931873,-24.797093,87.804922,355.12032,90.781113,355.03655,51.243891,48.108847,44.7897,39.706362,39.389677,1075.2688,1612.9032,4301.0753,5376.3441,7526.8817,417.06686,176.49237,109.19614,101.89664,75.26283,1075.2688,1612.9032,2150.5376,2688.172,3225.8065,55.36,f025 ap030 ac
-114.1214,-511.005,177.6729,543.8043,23.768255,-15.318,65.612468,259.79085,69.619714,259.5477,37.990905,37.280842,33.122756,30.443802,27.197314,1612.9032,3763.4409,4838.7097,5913.9785,7526.8817,246.67539,211.04733,117.70988,68.955361,47.847131,1075.2688,1612.9032,2150.5376,2688.172,3225.8065,54.46,f025 ap030 ac
-146.4707,-368.4857,121.8919,599.7485,16.660344,13.261649,57.765888,245.90203,59.971831,245.60196,52.185331,31.067769,21.527926,20.176418,16.749916,0,1612.9032,2688.172,7526.8817,8064.5161,302.34497,105.55071,78.094506,62.465821,46.100766,537.63441,1612.9032,2150.5376,2688.172,3225.8065,54.65,f025 ap030 ac
-181.0338,-630.7381,207.9737,783.6976,11.20426,22.439179,78.16455,398.29874,78.756334,397.86562,58.577243,44.16774,40.735299,37.853614,30.064672,4838.7097,5376.3441,6451.6129,7526.8817,8602.1505,511.97057,148.01688,104.28984,84.875378,73.506952,1075.2688,1612.9032,2150.5376,2688.172,3225.8065,55.42,f025 ap030 ac
